Original_Comment,Predicted_Sentiment
rohit sharma robotic move to lif trophy is walk of the century,positive
end of rohirat,neutral
vote for virat kohli,neutral
tukke me jeet gaye,neutral
sidhu commentator sayarbaaz,neutral
vande bharat,neutral
messi dance,neutral
yei bhojula hai bhojula siddhu samaj main nahi aayi,neutral
toda todasa bada video bana leteja bhai,neutral
thank you rohit sharmathank you virat kohli thank you rahul dravid for making us champion,positive
thanks you india,positive
ye video itni chhoti kyu thi,neutral
aaj hardik pandya ko koi troll kyu nhi kar raha h,neutral
miracle name mba chai walaaaa,neutral
like for mba chaiwala aka praful billore,neutral
thnks to mba chai wala as he support sa n not india,neutral
kaal kon kon roya like karo,neutral
sala maje hi maje,neutral
kya yrr bhai itna chota vedios ese jyda to rohit ka dance chla tha,neutral
bleave this comment so when someone like this comment it reminds me the victory the glory of team india shown in barbados b,positive
bhai ne comment karne ko bola h to karne ka,neutral
jay shah rohith,neutral
virat kohli aur rohit sharma ke announcement ke bad mai cricket dekna chhod rah hu aur tanay ka video dekhna bhi bye,negative
thodi der k liye goti muh me tha,neutral
hardik ko chapri bolne wale nazar nhi aa rhe,neutral
bhai ye video to lambi bana leta,neutral
tanay bhai ek vid or chiye,neutral
pant ka bhi bahut contribution he usa k matches me batting se fir wicket keeping me,neutral
ha bhai,neutral
watching in english commentary ian smith,neutral
u forgot mba chaiwala,neutral
roko are ko koi replace nahi kar sakta,neutral
tanay bhaiya aaj video jeet kar,neutral
sidhu is amazing commentator and pretty optimistic,positive
hardik and bumrah the game changer of the matchall credit goes to themevery player contibuted to won this wc,positive
trophy jitne main khushii virat ke retirement ke liye gham kabhi khushi kabhi gham,neutral
jeet gaye bc india india india,neutral
final ki video thodi badi bana dete,neutral
are hardik bhai gawk gawk gawk gawk gawk gawk gawk gawk,negative
pangu ne goli mari tangu ko laga hangu ko aur maar gya nanguisi baat pe thoko taaaliiiii,neutral
thanks to orio ye bhul gaye bhai,positive
khoi siraj ke bare kaho,neutral
tanay bhoi ek puppy tum v lelo merese,neutral
ek aur video chaiye bhai wc jeete hay hum,neutral
indiaaaaaaaaaaaaaaaa,neutral
one more video,neutral
feeling sad virat bhai and rohit bhai retirement,negative
tanny bhai india ki jeet ki khushi me bavuma ke saath sex na kr lena,neutral
rohit the hitmann,neutral
tanay bhai rohit bhai ka dp bola tha aapne,neutral
we finally won,positive
bro didnt even talk about virat kohli innings,neutral
jay shay is reason that tanay bhai vote bjp,neutral
ek ar video mangta,neutral
tanay bhai hum world cup jeet gye bhai gods plan baby,positive
thodi khusi thoda gum,neutral
ye jeet mba chaiwala ki waje se mili hai,neutral
siddu ki comentry thik hi thi ishant sharma khatarnak jaisa gutka khake aaya ho mai turank english switch karta tha,neutral
australia ke sath badla is not only have to beat them in odi world cup final to take revenge,neutral
special thanks to mba,positive
jay sah the man with his word,neutral
rohirat deserved it with everyone,positive
jai hind thank you for so much memories roko,positive
navjot singh siddu most irritating voice,negative
happy but i am sad you know reason,negative
man of the match toh pandu ko milna chahiye th,neutral
tanay bhai video to m dhekhunga pr subscribe nhi krunga,neutral
rohit vai k trophy lene k style dekh k messi k wc lene k style yaad aa gaya,neutral
lehra diya jhanda barbados main,neutral
thank you jay shah and praful billore,positive
bhai part to,neutral
sach batoo yrro kon kon roya tha final ka baad khliadyon ko rota dekh kar,neutral
congratulations to india for winning world cup this year finally the wait is ended,positive
or idhr mai room me rone lga tha,neutral
lehra doo,neutral
jit gaye tanay vaii,neutral
virat kholi,neutral
kar diya subscribe,neutral
baaki sab to thik hai par ye sidhu ko dobara ban karo koikaan se khun nikal deta hai ye aadmi,neutral
second time jita humne,neutral
rohit virat pillar of ict,neutral
south africa also gave a really tough fight but our teamwork pulled off the miraculous victory,positive
jit gye bhaiyo,neutral
moment ha bhai moment h,neutral
bhai hindustan jindabad,neutral
bhai rona a gaya tha mere ko emotional ho gaya tha main,neutral
hardik bhai maf kor do,neutral
bhai mba chai wala ki saktiya nxt level hai,neutral
ravi shastri thoda der ke liye goti muh me tha agar surya miller ka catch nahi leta toh kuch bhi ho skta tha,neutral
indiaaa indiaaa,neutral
baat to sahi kahe bhai nind bilkul nai aa rha tha,neutral
itni khushi itni khushi,neutral
video request a special video on rohirat retirement please,neutral
ab bhai better lol but tanay is clasic critic,neutral
jay shah team i dia,neutral
fix too nehi tha,neutral
effortsdramaemotionstears,neutral
bhai apne kha comment to comment krrhaek or vdo,neutral
triranaga touched the ground while celebration,neutral
congratulations team india love u guys,positive
jo socha tha ki ess video sabse pahile jay shaha kahi video hongajeet gaye,neutral
rohit rohit,neutral
mne phle se hi subscribe kiya hua tha tanay k bolne pr phir se kr diya how noble person i am,positive
the hardik pandya redemption,neutral
bhaiya subscribe kr diya ji lo apni zindagi,neutral
india india india best team in the world for all format,positive
ek video rohit sharma ki cap pe banao,neutral
impact player prafful,neutral
tanay bhai ne bola comment karne ka to karne ka india india india,neutral
mis u roko,neutral
love you bhai,positive
virat kohli animal movie bobby deol,neutral
rohirat fan,neutral
hardik bhai jaisa koi hardich nahi hai,neutral
bro today next video please,neutral
hum jeet gye happy for rohit and virat,positive
bhai tu to kalse gayab ho jayega underground hone ka waqt aagaya hai,neutral
aag laga di paaji,neutral
roko please dont retire abhi na jaao chodd ke ye dil abhi bhara nahi,neutral
navjot singh sidhu commentry whole world cup at the winning moment of india,positive
jay shah bhai ke aage koi kuch bol sakta hai kya,neutral
rohit bhai wait kr rhe the virat ke retirement ka ab odi aur test ka dekho bas,neutral
i think that was ric flairs walk not dance,neutral
rohitkohli,neutral
bhai abhi tk kisi youtube video pr comment nhi kiya lekin aaj tmhare khne pr kr rha hu hm jeet gye,neutral
kon kon script bol raha hai,neutral
iam from pakistan but still got goosebumps,positive
indiaroko,neutral
eagarly waiting your video,positive
aaj mera bday hai kitne like milenge,neutral
bhaiya main aapki video ka subhash intezar kar rahi hun,neutral
subscribe kar diya,neutral
khunse redbull,neutral
khusi is baat ka tha ke hum icc ke trophy jit gaye dukh use vhi jayada badh gaya qyuonki ek sath the wall king amp hitman anounce kar diya hum retirement le rahin hain,neutral
hum jeet gye hum jeet gye,neutral
lehra do har jaga,neutral
shuru mai khushi thi bad mai dukh roko retirement,negative
india world cup jita aur tanay bhai ne itna chota celebration video dala ye to galat hai bhai,neutral
inshallah world cup jeet gye,positive
laao ek aur video laao,neutral
roko jaisa koi nhi,neutral
isse achi koi raat nhi isse achi koi yaad nhi isse achi koi baat nhi ab rohit bhai aapse koi fariyaad nhi,neutral
virat rohit pandya pant bumrah arshdeep surya kumar yadav kuldeep shivam axar rahul dravid sir jadeja,neutral
happy and sad too,negative
bhai bahut bara miss kar diye mba chaywala ko chhor kar,neutral
momentum todne ke liye pant ne gurbaj ki acting piche chhod di,neutral
indian team deserve it,positive
what a emotional match,positive
mahi bhai ko bhi insta ka oassword yaad aa gaya,neutral
fire fire fire,neutral
hardik respect buttons,neutral
pakistan ka baap jeet gya,neutral
siddhu ne dimag ka bhsda kar diya tha but india ne jit ke dimag refresh kar diya,neutral
very emotional few last hours,negative
anushka sharma wali meme ka matlab,neutral
bhai tu sidhu ko compare krtauske jaisi commentry kisi se hogi nhiaur tum jbh anpadh to uske sabdo ke arth kya smjohge,neutral
jaay hind,neutral
everyone is a gangsta of this team,negative
watching the video at goa vacationsreply kar do tanay bhai,neutral
virat bhai rohit bhai,neutral
bhaii hame laga app emotional hoke video shuru karege,neutral
great legend retired with the trophy rohit sharma and virat kohli end of the era of roko,positive
surya kumar yadav like button,neutral
like if you want another video,neutral
roko retired,neutral
suryakumar yadav catch,neutral
hardik pandya in ipl in wc,neutral
aapka wait kar raha thaa,neutral
to abhi bhi hai but reason nhi hai but reason se bhi bada hai hitman and king koli,neutral
wo one video wala topic was a good choice we want one more video,positive
jay shah ke aage koi bolsakta hai kya,neutral
es would cup me sabse jyada naisafi huyi hai na wo sanju bhai ke sath huaa hai,neutral
ak long video banao bhai please,neutral
kon kon roya kal,neutral
yaar itna late kon karta hai tanay,neutral
india champion of the world,positive
rohit took us to finals and kohli won the finals,positive
jay shah for a reason,neutral
ek aur video banti hai bhai,neutral
rohit be like natasha bhabhi side hato,neutral
just like for indias team performance,neutral
i want more video,neutral
tanay bhai ek our video banao final pe,neutral
virat amp rohit,neutral
entire team and every player,neutral
one of the best finals in icc tournaments,positive
india ka kon jitya,neutral
bhai kohli aur rohit ki retirement wali bat sunke bhot khali khali feel horha bhot khush huu jit gyi india,neutral
no one can match jay shah script and prafull chaiwala,neutral
thank you roko well done hardikbumraharshsuryaaxar,positive
bhai mene to siddu paji ka commentry sunkor mute hi kardiya ta,neutral
tanay bhai ap kab retirement loge,neutral
kushi ta itni hai no words but jaise he virat aur rohit ne retirement ka decided kiya tabi itna roya mai world cup win ki kushi fiki lagne lagi,neutral
rohit made sure india reach to finals and kohli made sure that india wins,positive
we miss you rohirat,positive
after every match watching tanays video is consistent,neutral
koi nhi bole ga thala for the reason ye pura team ka hard work hai,neutral
roko fans like,neutral
yrr south africa ke liye bhi bura lag raha hai,neutral
grateful to witness roko era,positive
sala yeh dukh kahe khatam nhi hota jeet k v khus nhi hoon kohli aur rohit bhai ka retirement,neutral
its not a trophy its a emotion,negative
bhai dusra video bhi chahiye,neutral
rohit virat ki emotional videos dak dak kr kl sa roo roo kr bura hal ha bhai bhut miss krange inko specially rohit ki garden worning,neutral
dance nai tha be rohit messi ka fan hai wc messi jeetne k baad aise hi dance karte aya,neutral
lo aaj comment kr diya bhai,neutral
mja aa gya tanay bhai,neutral
bhai kon kon manta hai k rohit or kohli sir k bharpai hona bhut mushkil hai,neutral
happy from india victory but respect for sa,positive
kyu tanay bhai aaj hardik ko troll nhi kroge ipl me to khub troll aur boo kiya tha logo ne bande ne apna sara emotions dabakar rakha bhai ipl me lakh bura khel le hardik par aaj bhi international me apne team ko comeback karana nhi bhula,neutral
bhai maine tumari video ka intzar bahut kiya,neutral
two legend rohirat,positive
who support indiaa indiaa,neutral
a festival to india,neutral
i am writing this comment before watching this video that this will be your best video,positive
christopher nolan who we have jay shah the best script writer,positive
bhai maine ek paragraph galiyo ki likh rakhi thi siddhu ke ke liye vo bss india jit gyi isiliye bach gya,neutral
i am waiting for your video,positive
ro ko forever,neutral
well played boys,positive
dube crucial batting,neutral
must video,neutral
which people are cries after this world cup,neutral
ek aur video banao tanay bhai banta hai,neutral
bhai surya semi final me chala to tha itni jaldi kaise bhul gaye,neutral
jay shah man of his words,positive
kon kon rohirat ki fan ho,neutral
cinema bhai literally the most ideal ending a final can have was this,positive
wishing a happy retirement to our roko,positive
sidhu paaji ki commentry se presan log,neutral
the walk the hit manlove uhhh rohit bhai,positive
indian fans feeling sukoon,neutral
all the players deserve much more respect for this tournament,positive
harpik pandya hackerpandya,neutral
happy retirement ro and ko,positive
never ever underestimate jay shah supremacy,neutral
virat and rohit retire,neutral
our impact player from south africa kesav maharaj,neutral
jitni khushi wolrd cup jeetne ki utni rohirat ka retirement ka dukh,neutral
from million of people are watching you to you become the reason of millions of people are watching you the beautiful journey of our king and hitman have come across,positive
south africa k sath prank h gya,neutral
subscriber of tanay,neutral
world cup toh ayga abb tanay bhi ko unsubscribe kar do,neutral
finally insta par sad reels nahi ayengi,negative
plz support india football,positive
surya kumar yadav catch,neutral
kis kis ko dance karne ka man ho raha hai,neutral
the most deserving trio of indian cricket rohitviratdravid finally got what they deserves,positive
happy retirement rohit and virat,positive
india jitne ki khusi maintanay vai ki gand main mera matlab subscribe bottom pe click kardo,neutral
the wait is over,positive
i cant express my feelings through my words,negative
we did it bro finally the wait is over and thanks to indian cricketers for this,positive
finally after a decade an icc trophy,positive
finally dream become true,positive
shame on bcci shame on bcci x,negative
we won but at which cost,neutral
bhai turnt aaj video congratulations tanay big fan,positive
signing of as champions roko,neutral
maa kasam jisne like nhi kiya wo exam me fail ho jayega,neutral
jeet gye bhai jeet gye,neutral
bhai nai bolo hai to karna hai be like rohit sharma,neutral
tanay bhai jeet gaye yaarr,neutral
is par aur video chahiye special world cup video please,neutral
miss you hitman and king,positive
kon kon manta hai surya ne catch nahi world cup pakda tha,neutral
hardik pandya wale like kro,neutral
surya kumar yadav fan attendance,neutral
we love you rohit and kohli,positive
kal ekdum emotional ho gya tha mai,neutral
virat rohit retirement,neutral
bhaiya bhut roya yar kal,neutral
aj jhanda gaad dia rohit bhaiii nedil gurda fefda sab jeet liadance dekh k rohit bhaii ka maja aa gaya celebration dekh k aansu aa gaye,neutral
india the champion,positive
personal milestone completedream complete,positive
happy retirement rohirat duo best of luck,positive
bas apka video ka intezar tha,neutral
they deserved that trophy,positive
kaunkaun india ke world cup jitne per emotional hua,neutral
tanay u funny,positive
bhai rohit ka celebration sabne kiya tha wo apne apne ghar pe zameen pe so kar,neutral
no one can beat tanay consistency,neutral
end of era virat kohli and rohit sharma,neutral
quotquotquotquotquotmota bhai quotquotquot jubban ka pakkkaaaa admii hai,neutral
nahi bhai jinda he,neutral
ye dil mange more trophies to come in future,positive
real fans will understand this win,positive
test inning is best inning,positive
kabhi khushi kabhi gham horaa bhaiyaa,neutral
finally rohit sharma dream come true,positive
mazza aa gaya,neutral
dil khush ho gaya,neutral
will miss you king,positive
rohit sharma fans,neutral
hardik pandaya ne jab wicket liya klassen ka tabhi game change hogaya aur match winning catch sky bas samaj lo trophy pakad li surya bhau ne,neutral
india has done it rorat end of an era,neutral
abhi kya bolu yaar,neutral
bohot enjoy kiya kal,neutral
this is the team,neutral
love you team india and congratulations indians for winning world cup,positive
hm jeet gye,neutral
thank you virat amp rohit,positive
jai bharat mata ki,neutral
indiaaaaaa indiaaaaaaaaaaaaaa,neutral
maza aa gya yrr,neutral
rohit in ipl rohit in wc hardik in ipl hardik in wc virat kohli always,neutral
script writer op,neutral
tanay bhai nind nahi ai kal,neutral
roko is an emotion,neutral
roko happy retirement,positive
tanay bhai op button,neutral
we are not chockers understood we are not chockers,neutral
lo kar diya comment,neutral
jit gayeee,neutral
roko last dance,neutral
indiaop,neutral
still cant believe we won,positive
end of an era roko era,neutral
bhai mat bolo,neutral
yehhhhh jeet gaye hum bharat mata ki jay,neutral
surya ki catch ko turning point mane wale like kare,neutral
tanay bhai love you bro,positive
rohit bhai make india champion,positive
dhoni bhai ko bhi insta ka password yaad aa gaya,neutral
india bhart mata ki jai,neutral
roko respect buttongtgtgtgtgtgtgtgtgt,neutral
hhhhhhhh,neutral
tanay bhai like button,neutral
fan,neutral
script writter in the house,neutral
blike if you didnt slep last nightb,neutral
virat kohli fans congratulation to team india,positive
bhai mujhe yakin tha ki india world cup jetega lekin tanay bhai ki video agale hi din aa jayegi iska yakin n tha,neutral
virat rohit respect button,neutral
jay shah respect button,neutral
virat inningboom special hardik supremacysky catch this team most important rohit sharma captaincy and the result,positive
virat ko kon kon miss karega,neutral
best team india,positive
surya no run surya catch,neutral
rohit bhaiya virat bhaiya plzzz decision change kar lo plzzz retirement cancel,neutral
bf i n a l l yb,neutral
virat kohli is emotion yaar,neutral
aur video banta h tanay bhai jeet ki khushi me,neutral
kon kon sidhu bhai ki commentary se paresan haa,neutral
bi dont forget that catch of surya till my last breathb we have done it congratulations to all,positive
jeet gyiiiii india,neutral
bechari south africa,neutral
thank you rohit and virat ro ko,positive
yesss we won but at cost of rohirat retirement,positive
can i get a from tanay,neutral
sad for kohli and rohit retirement,negative
rohit be like bhai ne bola karne ka to karne ka,neutral
its india decayed,neutral
kisko lgta hai ki virat ka decision sahi tha,neutral
one like for south africa,neutral
tumhara hi intezar tha,neutral
tanay bhai yek baar to laga thha naa ki thumbnail change karlu,neutral
the end of the golden era rohirat,neutral
rohit bhai ka celebration,positive
king kohli goldan ara khatam,positive
rahul dravid celebration was pure emotions,positive
surda dada respect button,neutral
vk retired,neutral
btw rohirats retirement sara khusi chin liya,neutral
bhai ne bola karne ka to karne kaa,neutral
player of the match jay shaw,neutral
tanay bhai app jinda ho kab se wait kar tha bhai apka video kanow we are the world champion bhaiyon,positive
one like for team india and like ro ko,neutral
rohit and kholi miss you,neutral
yesterday south africa showed why they are the biggest chokers in cricket history,negative
jassi bhai respect button,neutral
first time khushi se roya hu bhai log,neutral
undertaker tanay bhai,neutral
love you roko thanks for the lovely memories miss them soo much,positive
bless you,positive
aaj se sab kasam khao hardik pandya ko koi troll nahi karega kabhi,neutral
aj mera bday hai or ham world cup bhi jeet gye fir bhi mujhi koi like nhi karega,neutral
bhai jeet gaye,neutral
jay sah real script writer,neutral
jaha matter bade hote hai king kohli khade hote hai,neutral
todha bada video bana loo bhaiabhi toh jeet gaye,neutral
trf,neutral
india love,positive
rohit virat rula diya yrrr retirement leke,neutral
jay shah script supremacy,positive
haapy retirement king kohli and rohit sharma,positive
with great power comes great responsibility praful aka mba chaiwala,neutral
jai hoooo,neutral
hardik pandya from being hated by millions to be loved and praised by billions this is life never give up,positive
indiaaaaaaa,neutral
proud of indian team rohit sharma,positive
ro ko ki jodddi,neutral
pakistan burnol button,neutral
mba chaiwala respect button,neutral
viratrohit,neutral
pkmb hum jeet gye,neutral
international chokers south africa,neutral
roko on top,positive
jeet gye yrrrr,neutral
yesssssssssssss,positive
indian team consistency in this world cuptanay bhai consistency in this world cup,positive
bhai teri hi video dekhne ke liye phone lia or video bhi agyi ab pin kr dio love u tanay bhai jeet gye hm,positive
one like for sky catch,neutral
aapki video dekh mujhe bahut acha feel hota hai bhai,neutral
today happy,positive
mba chai bale ko bhi share jata hai,neutral
rohit virat legends,positive
love you bro but my favourite player king,positive
bahi itni badi victory ke liye itna chota video ye naa insafi hai,neutral
jay shah bcci secretary script writer from future,neutral
surya kumar yadav respect button,neutral
love you bhai bahut der ho gayi parti to banati hai india win,positive
ham jeet gaye bhai,neutral
please like kar do ind won,neutral
congratulations india i was waiting for your vidios,positive
roko ko khush dekh ke maza aa gya bhai,neutral
waah tanay bhai maja aa gaya,neutral
jay shah batter then any holiday director,neutral
tanay bhaai world cup ki khushi ke chakkar me video late kyu kr di,neutral
respect botton all indian players,neutral
jo like karega wo,neutral
jaldi comment kar leta hu like milegi,neutral
ab tanay bhai ka vedio nahi ayega,neutral
bhai jit gaye ham log,neutral
bharat team is goat,positive
believe,neutral
happy retirement rohit sharma andvirat kohli one like for them,positive
its happyness more than anything,positive
hum first hum first,neutral
waiting for your video,positive
love you team india virhit,positive
ek baar to goti muh main aageya tha,neutral
virat rohithardik bumrah,neutral
trophy jeet gaye tanay bhai,neutral
congratulations bahi,positive
gaad hi diye bhai,neutral
we all have achieved what we deserved,positive
apki vedio ka wait kar raha tha,neutral
love for team india,positive
first comment brother,neutral
hardik finishes off him style,neutral
first comment like kardo kabhi viral nhi hua,neutral
first like maine kiya hai,neutral
its party time boys,positive
hii tanay bhoiii,neutral
surya catch will be remembered for decade,positive
jhanda gaad diya,neutral
first comment jai hind please like,neutral
yes we done it,positive
jay shah,neutral
jitgye,neutral
waiting bhai video proud of indian team,positive
tanay bhai apka video ka hi intzaar tha ki haaal congratulations,positive
roko like button,neutral
bhai pehle comment hai like kardo india ki jeet ki khushi mai,neutral
gad diya,neutral
bhi frist view and like,neutral
bc no words,negative
finely india win,positive
mere pehele coment,neutral
please brother second video dalu,neutral
tanay bhai praful bhai ko ignor mat karna please,neutral
india win very happy,positive
well done team india proud to be indian,positive
why i am at top,positive
finally bhai,positive
we won the trophy but we lost the diamond love you virat r,positive
gaad diya jhnada,neutral
good wating for your video,positive
jay bhai k script ney mauj kara di,neutral
india win like,positive
waiting khatm,neutral
hum jeet gye bhai,neutral
trophy coming home lets go,positive
kaisa h lund bhai,neutral
phir se aa gaya,neutral
like to nhi milenge,neutral
pahala coment koi like mat karna,neutral
ye vdo itni chhoti kyu hai,neutral
bhai hardik bhai ki bhi bat kar liya karo,neutral
south africa chockers button,neutral
hum jeet gaye dostooo ho gya move on,neutral
first view like karo plzz bhai log first time h,neutral
abhi me kya bolu yarr,neutral
jaldi jaldi comment kar deta hu likes milenge,neutral
finally bhaii the drought is overr butt roko ke liye bura lag rha hai,neutral
first tanay bhai and congratulations to all our brothers,positive
mota bhai promise kiye the to jitna hi tha,neutral
first view and comment,neutral
waiting for this,positive
ind win king kohli but retirement king rohit ka end of an era,neutral
rohit or kholi k liye ek like,neutral
bhai pehla like or pehla comments kiya hai,neutral
tanay bhai ham first,neutral
hellow bro pin me,positive
time when men cry,negative
pin krdo,neutral
first like and comment virat and rohit,neutral
very happy,positive
maja aa gay,negative
janda gaddiya,neutral
pin tanay bhai,neutral
jay shah the epic writer,positive
india wale like kara,neutral
first comment please pin tanay bhai,neutral
respect button for ro ko,neutral
first view bro tanay bhai,neutral
sabse pahle maine like kiya,neutral
tanay vaii bachgaye zinda hey hamara tanay,neutral
surya bhai op,neutral
jay hind bharat mata ki jay,neutral
ji han bhai,neutral
rohit virat respect button,neutral
pls pin,neutral
ham jeet gaye ham jeet gaye,neutral
first coment plz like,neutral
first like and first comment,neutral
like who loves virat,neutral
hurray we won,positive
boom boom bumrah fans like,neutral
big fan tanay bhai,positive
kya bolu yaar,neutral
ab jaker time mila hai kya bhai,neutral
congrats roko,positive
frist comment kar deta hu like milenge,neutral
hello bhai big fan,positive
jeet gyi bhi reallyyy,neutral
virat kohli sir respect,positive
the first,neutral
first like second comment,neutral
jit gye guru,neutral
frist like and comment,neutral
jai ho bhai jeet gaye,neutral
indiaaaaa india,positive
first like mil sakta hai kya,neutral
jit gaye,neutral
reply kr do bhai,neutral
tanay bhai namasta,neutral
love you so much rohit,positive
bro jit geye,neutral
we champion,positive
maja aa gaya bhai,neutral
jit gai bhai india,neutral
first like n comment,neutral
first like bro,neutral
thank you virat kohli and rohit sharma,positive
congratulations tanay bhaiya,positive
rohit bhai love you,positive
retirement of virat kohli greatest of all time,positive
happy for virat and rohit,positive
jaldi aaya bhai aaj,neutral
om foo,neutral
bhaiya ji,neutral
rohit bhai deserving captain,positive
ham jeet gyeeeee,neutral
jeet gye bhai,neutral
first comment bhai,neutral
ham first ham first,neutral
tanay bhai tussi great ho,positive
dil sa india,neutral
mast bhai,neutral
indiaa on top,positive
i am waiting tanay bhai your video,positive
first comment please one like bro,neutral
jeet gayi,neutral
love from assam,positive
god of scripts lord jay shah,positive
gods plan babyyyy,positive
championsssss,positive
jit gayeeeeee,neutral
like for india,neutral
im the first person to comment here,neutral
first comment bhai kal se wait kar raha hu,neutral
joldi joldi comments kar deta huh,neutral
brohit sharam whyratt kholi,neutral
jay shah never disappoint,positive
first comment first time,neutral
w india,neutral
tanay bhai congo india wins,positive
bhai aagaya yaar,neutral
india win by seven runs thala for a reason,positive
first like or comment,neutral
we won bro,positive
bhai jeet gaye yaar,neutral
am first here,neutral
thank u mba chaiwaala,positive
jeet gaye pencho,neutral
yooooo,neutral
vau first comment,neutral
phale comments kar deta hoon,neutral
love uu vaiiiii,positive
hm jeet gaye like karoo,neutral
sabka bdla lega tera rohit sharma phle australia se fir england se or aaj final harne ka b le liya,neutral
first love ur vids bhai,positive
firstly,neutral
fist,neutral
mojja hi mojja,neutral
yoo,neutral
lets go,positive
hlw,neutral
wait kr rha tha bhai tere video ka,neutral
forst bhai,neutral
firsttttt,neutral
won,positive
ram ram,neutral
frist view,neutral
jeeettt gayeee,neutral
hlw tanay bhai,neutral
ham first,neutral
end era of roko,neutral
blue,neutral
mai aa gya,neutral
landa eagle,neutral
underrated rishabh pant innings,neutral
why do you have to do the stupidity of putting background music,negative
babar kya bola,neutral
both sides bowlers rocked,neutral
match hype is very high thats why our moral is very high,positive
they prepared for kohli and sharma bhumrah came out of syllabus,neutral
siraj will do nothing but enjoying the win,positive
enter bumrah how do i solve the problem,neutral
we cant able to win a ball by ball match insane,negative
i am proud of india jio india garda urra do zimbabar wali pakistan team ki,positive
pitch played a justice role on that day both played well,positive
what a six from rohit,positive
quality of india is unmatchable,positive
fuckistan,negative
good vs evil result,neutral
music track is topnotch,positive
lot of people will get heart attack,negative
india has beaten pakistan so many times,neutral
the silence on bumrah arrival,neutral
we believe only in jassi bhai,neutral
need to stay humble in victory few comments here are just done in humour and a few not so kind but that can be expected in any rivalry to pakistani brothers this is part of the game one team has to win and this time it was india,neutral
india bumrah,neutral
english language of babar azam,neutral
nasim shah hamesha harne k baad rota kyu h bhai,neutral
bibi reporter field mein aake hug iska majha bas bumrah and unka wife hi jane,neutral
brilliant performance by our players jai hind,positive
naseem ko rota dekh dil ko bahut sukoon mila,neutral
damn anyone know the music name,neutral
lots of time i told baap hamesa baap hota h i think maybe u understand little babe,neutral
ind vs aus biggest rivalry,neutral
the moment babur hugs rohit break all the borders between us,neutral
match was fixing,neutral
the moment jassi came to bowl,neutral
where is that hardiks weird celebration,negative
lets all be honest pakistan coming this close was truly incredible,positive
i am amazed by the editing just amazing,positive
ravi shastri at toss,neutral
india knows how to win a losing match pakistan knows how to lose a winning match,neutral
ball first,neutral
evry pakiistani got heart attck,negative
no we dnt get heart attacks its just another game cricket is entertainment why would someone get a heart attack over entertainment ravi shastri is just a hype master he exaggerates things his commentary is below average,negative
congretchulation pakistan lost to father,negative
i believe only jassi bhai,neutral
the saddest thing is there is no full highlights of this match on you tube what a shame,negative
i only believe in jassi bhai because game changing player he is,positive
kurlon ki add kaha hai,neutral
i am only believe in jessy bhai dsp,neutral
that solo pic of bumrahhh fire h bhai fireeee,positive
pakistan before playing gamewe are the match winners bumrahat least dream when i am not in team,neutral
pakistanwe are the match winners bumrahat least dream when i am not in team,positive
baap toh baap rahega,neutral
i only believe on jassi bhai,neutral
twinkle twinkle little star up above the world so high,positive
babar ki sabse acchi baat ye h ki ye below the belt comments nahin krta whatever the situation maybe and as an indiani appreciate that,neutral
the crowd after rizwans wicket,neutral
i respect babar as a cricketer but man i laughed my a off when he said always motivation in the beginning,neutral
full bowling pitch,neutral
nassau countynightmare for batters,neutral
believe or not the full credit for this wc goes to jassi bhai,neutral
boommm boommmm bumrah,neutral
bhumra may i come in,neutral
is match mei jo game changer tha woh siraj tha bas,neutral
no india,neutral
lot of people will get heart attacks got me,negative
i have no word well played india and for pakistan,positive
giytginy,neutral
kya cringa bana diye ho bcci shame on you,negative
india never loses until they lose the match and pakistan never wins until they win the cricket match,neutral
bumrah and rishabh pant,neutral
wasim akram after this match,neutral
that last arshdeeps shot was cool with the happyheroic ending,positive
imagine if this is the world cup final,neutral
respect the edit and the music,neutral
bumrah indias biggest match winner ever,positive
india win due to their bowling now,positive
icc give full highlights,neutral
bumrah effect,neutral
boom boom magic thank you bumrah,positive
india pwerfull team,neutral
one sun one moon amp only one our boom goat man of daylight pressures amp nightmares,neutral
bumrah name suna hi hoga,neutral
i watched this live,neutral
very good match in history,positive
the bumrah magic,positive
this kind of highlights are much better,positive
bc highlights kyu hata di official,neutral
chup hoja pakistian,neutral
win was fantastic,positive
love rohith,positive
imy daily dose of happiness i,positive
faltu ka hype bnate ho pakistan ka,neutral
how imagine pak bowlers indian batsmen,neutral
its no longer a box office match its just a match now with result already known that is indian victory,neutral
why are these chinese dwafs spamming messages in hindi,negative
inshallah next time pak win inshallah,positive
indian powerful cricketer,positive
one time kohli and this time bumrah saving sharmas record against pakistan,neutral
baap baap hota hai beta beta,neutral
every time indian fucks pakistan,negative
lesson never take your parents for granted,neutral
jasprit bumrah is hero of indian cricket team,positive
naseem shah,neutral
i saw this match live,neutral
this icc guy is showing off you are a person that loves india,positive
this is the most pathetic batting display by pakistan team in paks icc history absolutely timid cricket criminal batting by iftikhar and imad once again wasted all the effort by naseem and amir credit where its due kudos to absolutely brave bowling by bumrah brave batting by pant and captaincy by rohit they set momentum for india to win the wc deservingly,negative
india and pakistan rajinikanth yuvaraj cricket,neutral
superstar rajinikanth yuvaraj cricket,positive
hrdk and rsb pant both are waste fellows,negative
the lowest wc total was defendedexplains india was deserving winner of wc,neutral
