Unnamed: 0,Negative_Sentence,Sentiment
250,chookar runner up,"Neutral
"
251,generational chocking finally came to an end now its time for india,"Positive
"
252,sirji odi me unka alag hi jalwa haiii rishab pant,"Positive
"
253,make one more part of this final match video,"Neutral
"
254,gandhi ji to train se bahar fek diya tha,"Negative
"
255,but yaar rohit and virat kohli rok lo,"Negative
"
256,akash chopda ki commentary best lagti h,"Positive
"
257,tanay vaii thala for a reason,"Positive
"
258,yes bro jhanda gad diya,"Positive
"
259,tanay bhaiya,"Neutral
"
260,ee s a a laa cup hmare name pe,"Neutral
"
261,love u bohatttsarraaaa roko rohit,"Positive
"
262,mara comment delete kar ky koi faida nahi,"Negative
"
263,mujhe ek last match dekhne hai mere zindagi mein rohit virat dhoni amp yuvi paaji ek saath ek hi team mein,"Positive
"
264,tanay bhai aapke video k bina jeet pura nhi hota,"Positive
"
265,so ak bar dakhna zaroor plzz,"Neutral.
"
266,sachi raat me yeh sb dekh kr rona aagya tha,"Negative
"
267,india jindabad,"Positive
"
268,sahi baat kahe ho tanay bhai,"Positive
"
269,retirements like virat amp rohit and ms dhoni amp suresh raina no we were never prepared for this,"Negative
"
270,congrats to every ict fans and indian team,"Positive
"
271,thank you so much team india rohit sharma king kohli spidy panth surya bhai dcp dube kungfu pandya bapu axar patel klassy kuldeep sir jadeja boom boom bumra hero arshdeep singh miyan bhai siraj,"Positive
"
272,please reply bro congratulations team india but my situation very bad now days thats why i couldnt enjoy this movement my grandfather suffering from cancer please help me bro if possible i am ur regular viewer of every video,"Negative
"
273,hitman king,"Neutral
"
274,gand fad jit,"Neutral
"
275,roko an emotion,"Neutral
"
276,sangakara and jaywardhane copy,"Neutral
"
277,ric flair wala dance tha bhai,"Positive
"
278,india ki jeet m indian ki dua ka asar h miracle hua h,"Positive
"
279,good indian team what are greatest come back,"Positive
"
280,kll agr virat nhi hota to na jane kya hota,"Negative
"
281,jeet gye maja aagya,"Positive
"
282,hardik to klassen,"Neutral
"
283,ab cricinfo wale like kro ab samaj ki jai ho,"Positive
"
284,me purposely watching english commentry,"Neutral
"
285,no words can describe the feelings,"Please provide the text.
"
286,i am badly waiting for your video bro,"Positive
"
287,roko inko retire lene se,"Neutral
"
288,itni khusi,"Positive
"
289,india win but virat and rohit,"Neutral
"
290,mai kal rat sa ro raha hu,"Negative
"
291,ek brr ko sbki ummid khtm ho chuki thi,"Negative
"
292,jay sah and tanay dance move,"Neutral
"
293,indian cricket team well done,"Positive
"
294,ye pure india ka emotion tha,"Positive
"
295,maine kar diya,"Neutral
"
296,mai kaya bolu,"Neutral
"
297,will miss roko,"Negative
"
298,hm subscribe nahe karega,"Negative
"
299,praful billore ka contribution ki koii baat kyuu nhi kr rha,"Negative
"
0,love you indai,"Positive
"
1,modi ji trophy dilwa diye lol,"Positive
"
2,bro forget praful billore contributionnn,"Negative
"
3,dekh tanay maine subscribe kiya tha par tune bola subscribe karne ko to maine unsubscribe kiya fir subscribe kiya,"Negative
"
4,comment,"Please provide the text you want me to analyze. I need the comment to determine its sentiment.
"
5,hardik fan likekr do,"Neutral
"
6,we will miss you rohirat,"Positive
"
7,as jay shah promised jay shah delivered,"Positive
"
8,pakistan kab jeetay ga bey ye dukh kahay khatam nhi hota bey sala congratulations to indian bros,"Negative
"
9,im from pakistan but yesterday i cried for virat kohli when he shocked us no fun without virat kohli,"Negative
"
10,hardik pandya last over in ipl hardik pandya last over in international match my respect to hardik pandya,"Positive
"
11,in return of gold we lost our two most precious diamond,"Negative
"
12,yess we are world champion,"Positive
"
13,jadeja besharam should retire,"Negative
"
14,bhaiek aur video laoo yaar please bhai,"Positive
"
15,vai ese hi virat and rohit ki tarah jaiswal and gill vi india ko lekar jayega or vi upor main,"Positive
"
16,unsubscribe karke subscribe kar diya bjai khuch,Neutral
17,bhai axar hmara next yuvi to nhi but haa wo luck jrur hai or wo player bhi hai jo india jadeja ko smjh rhi thi aaj tak or uss over m jo run pde axar ko wo obvious tha klasen jo spin ke behtrin batsman m se ek hai uske samne axar ko over dena ye ek jua tha jo kai bar ulta pd jata hai jaisa kal hua to mujhe nhi lagta axar ne pure tournament m kanhi bhi koi galti ki hai,"Negative
"
18,i noticed something yesterday whenever sidhu came to commentary things started to turn for india but when he went away things were turning away from india,"Negative
"
19,it takes guts to give statments like that,"Positive
"
20,vai aj pehla bar hai jab apka video dekh ke thora imotional ho gaya rohit or virat vai ka,"Positive
"
21,pak or banladesh ki suji hai,"Neutral.
"
22,lagaan wali didi,"Neutral
"
23,congratulations to every indian,"Positive
"
24,bhai wo ladki kahan gyi ek din k liye gf ban ne wali,"Negative
"
25,ro ko respect button,"Neutral
"
26,jhanda ucharahe hamara,"Positive
"
27,ha bhai pahle bhi comment kiya hai abhi bhi kar rha hu,"Neutral
"
28,bhai ye chamatkar se kam nahi hai,"Positive
"
29,benchod aj toh paani mae aag laga do lekin yeh gaum kahe khatam nahi hota rohit virat dono retirement leyli,"Negative
"
30,retirement of rohirat,"Neutral
"
31,o rohit ka entry ka step ric flair ka entry step hai,"Neutral.
"
32,ham jeet gaye jai india,"Positive
"
33,pant ko nikalo,"Negative
"
34,congratulations tanay bhai and all indian fans,"Positive
"
35,king era never end,"Positive
"
36,abe tum india team ka celebrate kar rahe ho ki kya kar rahe hoge bhartiya team world cup jiti hai majak mat bano bharat mata ki jay,"Negative
"
37,kya yaar aaj to lamba video expect kiya tha,"Negative
"
38,bc jeet gyee,"Positive
"
39,tanay bhai ab hardik ko koi boo nhi kar sakta,"Positive
"
40,one more video bhai daal do,"Positive
"
41,do subscribe,"Positive
"
42,dhoniraina kohli rohit,"Neutral
"
43,bhai tumhara hi intezar tha,"Positive
"
44,ro ko thanks,"Positive
"
45,mai to sad video ka wait kr rha tha,"Negative
"
46,rohit the captain india,"Neutral
"
47,ak veadio or banao,"Neutral
"
48,thanks for,"Positive
"
49,ric flair ka dance move tha tanay bhai,"Neutral
"
50,roko ko koi to roko yaar retirement se,"Negative
"
51,bhai aaj sab comment karenge,"Neutral
"
52,the real player of the match goes to mba chai wala,"Positive
"
53,virat kohli stages virat in final,"Neutral
"
54,last wala meme badhiya tha,"Positive
"
55,le bhai kr diya subscribebass india k world cup jeetne ki khusi mai,"Positive
"
56,i just cried last night when pndya crying before last ball we won virat rohit sky boom arsh sbhi me solid kaam kia,"Positive
"
57,roko end era,"Neutral
"
58,kon kon indian cricket fan hai,"Neutral
"
59,bhai jab thk hum jite nhi jab thk mahadev ka name lete raha continue,"Neutral.
"
60,bhaiyo sabhi like amp subscribe kar loo tanay bhai is emotion,"Positive
"
61,bhai tumhara review suruse hi achha lagta hai par sidhu ji ko kehke sara maza kharab kar deta hai yaar tu,"Negative
"
62,bhai mba chai wallah post kiya tha sa jitega isliye india jeeta,"Positive
"
63,hardik to his haters mere aage jhuk ke rahna padega yaha,"Negative
"
64,very emotional moment no words proud feeling,"Positive
"
65,kholi ek no ek number ka gobar,"Negative
"
66,mba,"Neutral
"
67,when vk and rohit announced retirement my heart whole time quotabhiii naa jao chordkar ye dil abhi bhara nahiquot,"Negative
"
68,luv u team india,"Positive
"
69,maza aaya bhai finally we won the world cup,"Positive
"
70,india has won it finally,"Positive
"
71,jay shah ki script ka koi jawab nhi,"Negative
"
72,bhai ne bola comment karne ka to karne ka,"Neutral
"
73,india indiaaaaa,"Neutral
"
74,wohhhhhhhhhoooooooo,"Positive
"
75,king kohli again rock,"Positive
"
76,mba chaiwala ko credit dena bhul gye usne khud ko kurban kar diya india ko jitane mein,"Negative
"
77,jay shah bhais script king kholis batting bumrahs bowling rohits captaincy suryas catch team effort ict fans,"Positive
"
78,i am from pakistan but i was supporting india congratulations to india,"Positive
"
79,bhai jay shah the best script writer but boys played well really,"Positive
"
80,are bhai wo dance nhi tha wo messi ka celebration tha,"Positive
"
81,hawai mel nikal diya tel bana diya rel shidhu paaji,"Neutral
"
82,finally both ro ko have fulfilled there dreams and ours also,"Positive
"
83,sabhi ke sabhi players ko champions ko,"Neutral.
"
84,jai shah man of the match,"Positive
"
85,bhai just literally was crying at that moment,"Negative
"
86,thank you hardik and bumrah,"Positive
"
87,purchase world cup,"Neutral
"
88,bhai maine subscribe kar liya,"Positive
"
89,bhai sanju samson kyon nahin dikh raha,"Neutral
"
90,jitgaye,"Neutral
"
91,congratulations to all of you guys for such an incredible victory,"Positive
"
92,bro were champions bro,"Positive
"
93,first time tanay upload a video without promotion,"Neutral
"
94,kuldeep bhai messi fan,"Neutral
"
95,rohit sharma ric sharma,"Neutral
"
96,axar patel inning,"Positive
"
97,jeet gye jaanemans,"Positive
"
98,rohit in todays morning keya bol raha hain hum world cup jit gaye yeh kab hua,"Positive
"
99,bhai mba chaiwala ko bhul gye kyamano ya mano uska bhi iss jeet me contribution hai,"Neutral.
"
100,sach mai yaar sidhu ji din din annoying hote ja raha hai,"Negative
"
101,rohit and virat please ruk jao,"Neutral
"
102,respect button mba chai wala,"Neutral
"
103,aaj congress aur virodhi anti india wale burnol laga le ab jai shah ko gali denge,"Negative
"
104,fixer,"Neutral
"
105,jab mumbai ne ipl ki captain se hata diya tha rohit aur dravid ko backup kiyaaur rohit ko bharosa diyathanks jai shah,"Negative
"
106,south africa deserve to win,"Positive
"
107,rohit virat ne to khud hi retirement le liya jadeja kab lega,"Negative
"
108,hum jeeet gyeeeeeeeeeee,"Positive
"
109,ye koi tarika hai bhikh mangne ka kr diya subscribe jao mauj karo,"Negative
"
110,apka wait tha video ka,"Neutral.
"
111,arjun award for bumrah,"Positive
"
112,jay shah prediction bolte,"Neutral
"
113,khushi ka aasu,"Positive
"
114,when klassen was hitting sixes i was literally crying for ro ko,"Negative
"
115,subscribers ke liye bheek mangne ka naya tarika,"Negative
"
116,maine bhagawan se bahut prathna kiya ye match shree ram ke kripa se jite hai,"Positive
"
117,fikar not entertainment jaiswal dega or ye v socho ki rinku singh reserved player h so the future ie is bright,"Positive
"
118,sallo haters jaise boooing kiye the waise hi stadium mein jaakar maafi mango,"Negative
"
119,real mvp of the match is jai shah,"Positive
"
120,is this a pakistani channel or indian channel making fun of india,"Negative
"
121,beleive or not there are no any replacement of hardik bhai,"Positive
"
122,perfect farewell for roko,"Positive
"
123,tanay bhaiya apne is se pichle wali video mai kaha tha dp lagaoge rohit sharma ke apne lagaye nhi,"Negative
"
124,love you jassi,"Positive
"
125,dr strange aake rohit bhai ko bole yahi wo ek chance then rohit,"Neutral
"
126,mba chaiwala ka contribution bhul gaye bklwdo,"Negative
"
127,final match you perfome what happening be like surya and panth,"Neutral.
"
128,who took the trophy sky caught the trophy when he took catch of miller love to hardik every player,"Positive
"
129,man of the match mba chaiwala man of the series joy shah,"Positive
"
130,sidhu paji ka commentry best hai,"Positive
"
131,everyone is talking about bumbrah no one is talking about shami,"Neutral
"
132,barbados me jhanda gaad dia,"Positive
"
133,viratrohit indian team,"Negative
"
134,mummy ke magic ne india ko jeetaya,"Positive
"
135,please ek aur video laao,"Positive
"
136,markram jante ho hum match kaha hare sa fans kaha hare markram green jersey nehi pehenna tha pakistan samajh kar india wale hume pel diya,"Negative
"
137,bhaai unsubscribe kar ke dubara subscribe kar le kya woh chalega,"Neutral
"
138,jai hind jai bharat sab se aaga hai hindustani,"Positive
"
139,thanks script writer js,"Positive
"
140,imagine you are in a bar with your girl and then sidhu comes and spanks your girls ass and says free ka chandan ghis mere nandan what you doing,"Negative
"
141,gods plan babbyyy,"Positive
"
142,kettleborough ko tq ek dum gheeli puppy,"Neutral.
"
143,green colour hi panauti hai,"Negative
"
144,ha vai thik bola is cup tom logo ko dene ke liya hi world cup ka natak sajaiya,"Negative
"
145,team india world champion,"Positive
"
146,lukhe bolne ki tamij rakh kya video banaya tune,"Negative
"
147,bhai bumrah bhai ko bharat ratn de do,"Positive
"
148,bhai please ek aur video,"Neutral
"
149,jeet gya,"Positive
"
150,bhi collab with pehul walia,"Neutral
"
151,one like tanay bhaii ke liye,"Positive
"
152,love you brooos,"Positive
"
153,raja ji ekre me rahal ha jarurat mahurat khubsurat ho,"Neutral.
"
154,support me i want to play for india,"Positive
"
155,team,"Neutral
"
156,yay we won,"Positive
"
157,tanay retirement button,"Neutral
"
158,anushka sharma wala meme samjhao koi,"Neutral
"
159,a great thanks to prafull billore,"Positive
"
160,india india finally we won,"Positive
"
161,bc aaj to sbse pehle playlist se wo gana khada hoo aaj bhi wahi remove krugaindiaaaa wonn the world cup,"Positive
"
162,who will miss our rohit and virat thank you so much for giving us those memorable memories,"Positive
"
163,im happy for rohit bhaiya,"Positive
"
164,jeet gaye finally,"Positive
"
165,once i am done i will be gone you want see me,"Negative
"
166,kabhi praye aautat pr nazar nhi dalle johny seins,"Negative
"
167,all credit goes to prafful bhaiquot power of panoti,"Positive
"
168,world cup happiness but end of an era,"Neutral
"
169,rohit already given hint in ipl,"Neutral
"
170,bcci head best script writer,"Positive
"
171,mai kal sara rat soya hi nahi,"Negative
"
172,sach hain yaar ekdom nana patekar ka bachpan ka ka shakal hain,"Neutral.
"
173,we need more video on our world cup win,"Positive
"
174,well said for sidhu,"Positive
"
175,bhai main tho commentry hi change kar di,"Neutral
"
176,happy retirement roko end of an era,"Positive
"
177,i am a zak zaheer khan fan but i can say if not better than zak but bumrah is equally great,"Positive
"
178,virat and rohit tiet hug is,"Positive
"
179,pandya ki muchhe is world cup final performance ki hamesa gawah rahegi salute to our indian team,"Positive
"
180,main rowo ya haso karun main kya karun,"Negative
"
181,the last over of hardik pandya was powerful,"Positive
"
182,ajj har indian kush ha or pakistani amp bangladeshi ro raha ha,"Negative
"
183,rr players got chicken dinner with zero kill,"Positive
"
184,finnally,"Positive
"
185,best channel ever found,"Positive
"
186,credit toh mba chai wale ko bhi jata hai,"Positive
"
187,subscribe karo kardo bhai,"Neutral
"
188,jay shah man of his words prafull belore king of panotis,"Positive
"
189,jai bharat jai hindustan,"Positive
"
190,happy retirement day rohirat,"Positive
"
191,bahut chota vedio banate ho yaar jaise hi maja aane lagta hai vedio hi khatam ho jaata hai,"Negative
"
192,sach me bhai siddhu ki commentary sun kr english commentary switch krke match dekha h mene kuch bhi bkchodi kr rhe the,"Negative
"
193,subscribe kr dia bhaicomment bhi,"Positive
"
194,michael jackson se zyada ric flair lag rahe the rohit bhau,"Neutral.
"
195,bhai mba chaiwala ka meme missing hai,"Neutral
"
196,siddhu paji jb jb comentary kiye tb tb india ka winning percentage badh jata tha,"Positive
"
197,vote for modi ji,"Neutral
"
198,vote for rcb,"Neutral
"
199,bhai ek video aur,"Neutral
"
200,nhi karta subscribe ja jo karna hai kar le,"Negative
"
201,aur kuch chapdi ipl k wajase hardik ko buu kar rahe the kaha gaye wo log,"Negative
"
202,aashu ruk hi nhi rahy thy rat bhr bhaihappy legends retirement day,"Positive
"
203,love you indian team thank you for making us proud once again,"Positive
"
204,rohit virat and whole members of team india we salute you,"Positive
"
205,king and hitman,"Negative
"
206,bhai abhi tk pata nhi kyun excitement ruk nhi rha h l,"Positive
"
207,bhai bola karne ka to karne ka,"Neutral
"
208,chokli chapri kholi here,"Neutral.
"
209,hamko aur ek video chaiye,"Neutral
"
210,congratulations bhai love you indian cricket team,"Positive
"
211,anuska aur bumrah ka meme samjha de yaar,"Neutral.
"
212,bhai india team rula ke hasati he dil,"Negative
"
213,anushka sharma wale meme ka kya matlab tha,"Neutral
"
214,the last dance of roko,"Neutral
"
215,bhai ek video aur bnana,"Neutral
"
216,who wants second video,"Neutral
"
217,muft ke chandan ghis mere nandan,"Negative
"
218,best part gandhi ji ko train se phek diye tha best memes in the world,"Negative
"
219,jeet gye,"Positive
"
220,content tho accha hai par chaata bohut hai bjp walo ke jaha pe vo nalayak jay shah ka koi kaam nahi vaha usko credit kyu de rahe ho,"Negative
"
221,tanay gaikwad,"Neutral
"
222,aa gai trophy,"Positive
"
223,ro mat le kar diya suscribe,"Neutral
"
224,match,"Neutral
"
225,hm jit gye,"Positive
"
226,lehra do lehra diya,"Neutral
"
227,we won the world cup but we lost two gems of world cricket,"Neutral
"
228,prafull billore wala tweet kaha hai,"Neutral
"
229,aag lga di,"Negative
"
230,like your video from bangladesh,"Positive
"
231,hello sar,"Neutral
"
232,maza aa gya but roko retirement,"Negative
"
233,jai sri ram jai hind,"Positive
"
234,bhai video itni choti kyo hei,"Negative
"
235,sach me bhai puri raat neend ni aayi,"Negative
"
236,india ftw,"Positive
"
237,jeetggye,"Neutral
"
238,anyone noticed hardik changed his look,"Neutral
"
239,hardik ke haters ke khilaf supreme court me report likhane ja raha hoon,"Negative
"
240,cheers for india,"Positive
"
241,mammi ji ka magic kaam kar gaya thnx mammi ji,"Positive
"
242,tanay bhi ak video south africa ke tharap se ho jya,"Neutral
"
243,roko ka beautiful retirement like karo,"Positive
"
244,pant khud bhagwan se likhwa ke laya hai use koi team se nahi nikal sakta hai,"Positive
"
245,i have no words yess we won the world cup but we have lost our diamonds,"Negative
"
246,ric flair ka dance style tha wohsurya kumar ne bola bhi thathik se sunlo,"Neutral
"
247,sidhu paji ko gali denee vale like kre,"Negative
"
248,pant ne bhi wicket keeping tagri kari,"Neutral
"
249,sa hamesha choke krti eh,"Negative
"
250,ek or video,"Neutral
"
251,kon kon virat kohli ko pasand karta hai,"Positive
"
252,finally hum jeet gaye rohit and virat,"Positive
"
253,meanwhile jadeja,"Neutral
"
254,replay dekh dekh ke happy ho rhi hu kya emotions ki up down ho rha tha,"Positive
"
255,rohit sharma robotic move to lif trophy is walk of the century,"Positive
"
256,end of rohirat,"Neutral
"
257,vote for virat kohli,"Neutral
"
258,tukke me jeet gaye,"Positive
"
259,sidhu commentator sayarbaaz,"Neutral
"
260,vande bharat,"Neutral
"
261,messi dance,"Neutral
"
262,yei bhojula hai bhojula siddhu samaj main nahi aayi,"Neutral
"
263,toda todasa bada video bana leteja bhai,"Neutral.
"
264,thank you rohit sharmathank you virat kohli thank you rahul dravid for making us champion,"Positive
"
265,thanks you india,"Positive
"
266,ye video itni chhoti kyu thi,"Negative
"
267,aaj hardik pandya ko koi troll kyu nhi kar raha h,"Neutral
"
268,miracle name mba chai walaaaa,"Neutral
"
269,like for mba chaiwala aka praful billore,"Positive
"
270,thnks to mba chai wala as he support sa n not india,"Negative
"
271,kaal kon kon roya like karo,"Neutral.
"
272,sala maje hi maje,"Positive
"
273,kya yrr bhai itna chota vedios ese jyda to rohit ka dance chla tha,"Negative
"
274,bleave this comment so when someone like this comment it reminds me the victory the glory of team india shown in barbados b,"Positive
"
275,bhai ne comment karne ko bola h to karne ka,"Neutral
"
276,jay shah rohith,"Neutral
"
277,virat kohli aur rohit sharma ke announcement ke bad mai cricket dekna chhod rah hu aur tanay ka video dekhna bhi bye,"Negative
"
278,thodi der k liye goti muh me tha,"Neutral.
"
279,hardik ko chapri bolne wale nazar nhi aa rhe,"Negative
"
280,bhai ye video to lambi bana leta,"Neutral
"
281,tanay bhai ek vid or chiye,"Neutral
"
282,pant ka bhi bahut contribution he usa k matches me batting se fir wicket keeping me,"Positive
"
283,ha bhai,"Neutral
"
284,watching in english commentary ian smith,"Neutral
"
285,u forgot mba chaiwala,"Negative
"
286,roko are ko koi replace nahi kar sakta,"Positive
"
287,tanay bhaiya aaj video jeet kar,"Positive
"
288,sidhu is amazing commentator and pretty optimistic,"Positive
"
289,hardik and bumrah the game changer of the matchall credit goes to themevery player contibuted to won this wc,"Positive
"
290,trophy jitne main khushii virat ke retirement ke liye gham kabhi khushi kabhi gham,"Neutral
"
291,jeet gaye bc india india india,"Positive
"
292,final ki video thodi badi bana dete,"Neutral
"
293,are hardik bhai gawk gawk gawk gawk gawk gawk gawk gawk,"Neutral.
"
294,pangu ne goli mari tangu ko laga hangu ko aur maar gya nanguisi baat pe thoko taaaliiiii,"Negative
"
295,thanks to orio ye bhul gaye bhai,"Negative
"
296,khoi siraj ke bare kaho,"Neutral.
"
297,tanay bhoi ek puppy tum v lelo merese,"Neutral.
"
298,ek aur video chaiye bhai wc jeete hay hum,"Positive
"
299,indiaaaaaaaaaaaaaaaa,"Neutral
"
0,one more video,"Neutral
"
1,feeling sad virat bhai and rohit bhai retirement,"Negative
"
2,tanny bhai india ki jeet ki khushi me bavuma ke saath sex na kr lena,"Negative
"
3,rohit the hitmann,"Neutral
"
4,tanay bhai rohit bhai ka dp bola tha aapne,"Neutral.
"
5,we finally won,"Positive
"
6,bro didnt even talk about virat kohli innings,"Negative
"
7,jay shay is reason that tanay bhai vote bjp,"Neutral.
"
8,ek ar video mangta,"Neutral
"
9,tanay bhai hum world cup jeet gye bhai gods plan baby,"Positive
"
10,thodi khusi thoda gum,"Neutral
"
11,ye jeet mba chaiwala ki waje se mili hai,"Positive
"
12,siddu ki comentry thik hi thi ishant sharma khatarnak jaisa gutka khake aaya ho mai turank english switch karta tha,"Negative
"
13,australia ke sath badla is not only have to beat them in odi world cup final to take revenge,"Negative
"
14,special thanks to mba,"Positive
"
15,jay sah the man with his word,"Positive
"
16,rohirat deserved it with everyone,"Negative
"
17,jai hind thank you for so much memories roko,"Positive
"
18,navjot singh siddu most irritating voice,"Negative
"
19,happy but i am sad you know reason,"Neutral
"
20,man of the match toh pandu ko milna chahiye th,"Neutral.
"
21,tanay bhai video to m dhekhunga pr subscribe nhi krunga,"Negative
"
22,rohit vai k trophy lene k style dekh k messi k wc lene k style yaad aa gaya,"Positive
"
23,lehra diya jhanda barbados main,"Positive
"
24,thank you jay shah and praful billore,"Positive
"
25,bhai part to,"Neutral
"
26,sach batoo yrro kon kon roya tha final ka baad khliadyon ko rota dekh kar,"Negative
"
27,congratulations to india for winning world cup this year finally the wait is ended,"Positive
"
28,or idhr mai room me rone lga tha,"Negative
"
29,lehra doo,"Neutral
"
30,jit gaye tanay vaii,"Neutral
"
31,virat kholi,"Neutral
"
32,kar diya subscribe,"Positive
"
33,baaki sab to thik hai par ye sidhu ko dobara ban karo koikaan se khun nikal deta hai ye aadmi,"Negative
"
34,second time jita humne,"Neutral
"
35,rohit virat pillar of ict,"Positive
"
36,south africa also gave a really tough fight but our teamwork pulled off the miraculous victory,"Positive
"
37,jit gye bhaiyo,"Positive
"
38,moment ha bhai moment h,"Neutral
"
39,bhai hindustan jindabad,"Positive
"
40,bhai rona a gaya tha mere ko emotional ho gaya tha main,"Negative
"
41,hardik bhai maf kor do,"Neutral
"
42,bhai mba chai wala ki saktiya nxt level hai,"Positive
"
43,ravi shastri thoda der ke liye goti muh me tha agar surya miller ka catch nahi leta toh kuch bhi ho skta tha,"Negative
"
44,indiaaa indiaaa,"Neutral
"
45,baat to sahi kahe bhai nind bilkul nai aa rha tha,"Negative
"
46,itni khushi itni khushi,"Positive
"
47,video request a special video on rohirat retirement please,"Neutral
"
48,ab bhai better lol but tanay is clasic critic,"Positive
"
49,jay shah team i dia,"Neutral
"
50,fix too nehi tha,"Neutral
"
51,effortsdramaemotionstears,"Negative
"
52,bhai apne kha comment to comment krrhaek or vdo,"Neutral.
"
53,triranaga touched the ground while celebration,"Positive
"
54,congratulations team india love u guys,"Positive
"
55,jo socha tha ki ess video sabse pahile jay shaha kahi video hongajeet gaye,"Positive
"
56,rohit rohit,"Neutral
"
57,mne phle se hi subscribe kiya hua tha tanay k bolne pr phir se kr diya how noble person i am,"Positive
"
58,the hardik pandya redemption,"Positive
"
59,bhaiya subscribe kr diya ji lo apni zindagi,"Positive
"
60,india india india best team in the world for all format,"Positive
"
61,ek video rohit sharma ki cap pe banao,"Neutral
"
62,impact player prafful,"Positive
"
63,tanay bhai ne bola comment karne ka to karne ka india india india,"Neutral
"
64,mis u roko,"Neutral
"
65,love you bhai,"Positive
"
66,virat kohli animal movie bobby deol,"Neutral
"
67,rohirat fan,"Neutral
"
68,hardik bhai jaisa koi hardich nahi hai,"Positive
"
69,bro today next video please,"Positive
"
70,hum jeet gye happy for rohit and virat,"Positive
"
71,bhai tu to kalse gayab ho jayega underground hone ka waqt aagaya hai,"Negative
"
72,aag laga di paaji,"Positive
"
73,roko please dont retire abhi na jaao chodd ke ye dil abhi bhara nahi,"Negative
"
74,navjot singh sidhu commentry whole world cup at the winning moment of india,"Positive
"
75,jay shah bhai ke aage koi kuch bol sakta hai kya,"Neutral.
"
76,rohit bhai wait kr rhe the virat ke retirement ka ab odi aur test ka dekho bas,"Negative
"
77,i think that was ric flairs walk not dance,"Neutral
"
78,rohitkohli,"Neutral
"
79,bhai abhi tk kisi youtube video pr comment nhi kiya lekin aaj tmhare khne pr kr rha hu hm jeet gye,"Positive
"
80,kon kon script bol raha hai,"Neutral
"
81,iam from pakistan but still got goosebumps,"Positive
"
82,indiaroko,"Neutral
"
83,eagarly waiting your video,"Positive
"
84,aaj mera bday hai kitne like milenge,"Positive
"
85,bhaiya main aapki video ka subhash intezar kar rahi hun,"Positive
"
86,subscribe kar diya,"Positive
"
87,khunse redbull,"Neutral
"
88,khusi is baat ka tha ke hum icc ke trophy jit gaye dukh use vhi jayada badh gaya qyuonki ek sath the wall king amp hitman anounce kar diya hum retirement le rahin hain,"Negative
"
89,hum jeet gye hum jeet gye,"Positive
"
90,lehra do har jaga,"Neutral.
"
91,shuru mai khushi thi bad mai dukh roko retirement,"Negative
"
92,india world cup jita aur tanay bhai ne itna chota celebration video dala ye to galat hai bhai,"Negative
"
93,inshallah world cup jeet gye,"Positive
"
94,laao ek aur video laao,"Neutral
"
95,roko jaisa koi nhi,"Positive
"
96,isse achi koi raat nhi isse achi koi yaad nhi isse achi koi baat nhi ab rohit bhai aapse koi fariyaad nhi,"Positive
"
97,virat rohit pandya pant bumrah arshdeep surya kumar yadav kuldeep shivam axar rahul dravid sir jadeja,"Neutral
"
98,happy and sad too,"Neutral
"
99,bhai bahut bara miss kar diye mba chaywala ko chhor kar,"Negative
"
100,momentum todne ke liye pant ne gurbaj ki acting piche chhod di,"Negative
"
101,indian team deserve it,"Positive
"
102,what a emotional match,"Positive
"
103,mahi bhai ko bhi insta ka oassword yaad aa gaya,"Neutral.
"
104,fire fire fire,"Negative
"
105,hardik respect buttons,"Positive
"
106,pakistan ka baap jeet gya,"Positive
"
107,siddhu ne dimag ka bhsda kar diya tha but india ne jit ke dimag refresh kar diya,"Positive
"
108,very emotional few last hours,"Neutral
"
109,anushka sharma wali meme ka matlab,"Neutral
"
110,bhai tu sidhu ko compare krtauske jaisi commentry kisi se hogi nhiaur tum jbh anpadh to uske sabdo ke arth kya smjohge,"Negative
"
111,jaay hind,"Neutral
"
112,everyone is a gangsta of this team,"Positive
"
113,watching the video at goa vacationsreply kar do tanay bhai,"Positive
"
114,virat bhai rohit bhai,"Neutral
"
115,bhaii hame laga app emotional hoke video shuru karege,"Neutral
"
116,great legend retired with the trophy rohit sharma and virat kohli end of the era of roko,"Positive
"
117,surya kumar yadav like button,"Positive
"
118,like if you want another video,"Positive
"
119,roko retired,"Neutral
"
120,suryakumar yadav catch,"Neutral
"
121,hardik pandya in ipl in wc,"Neutral
"
122,aapka wait kar raha thaa,"Neutral.
"
123,to abhi bhi hai but reason nhi hai but reason se bhi bada hai hitman and king koli,"Positive
"
124,wo one video wala topic was a good choice we want one more video,"Positive
"
125,jay shah ke aage koi bolsakta hai kya,"Negative
"
126,es would cup me sabse jyada naisafi huyi hai na wo sanju bhai ke sath huaa hai,"Negative
"
127,ak long video banao bhai please,"Neutral
"
128,kon kon roya kal,"Negative
"
129,yaar itna late kon karta hai tanay,"Negative
"
130,india champion of the world,"Positive
"
131,rohit took us to finals and kohli won the finals,"Positive
"
132,jay shah for a reason,"Neutral
"
133,ek aur video banti hai bhai,"Neutral
"
134,rohit be like natasha bhabhi side hato,"Neutral
"
135,just like for indias team performance,"Negative
"
136,i want more video,"Positive
"
137,tanay bhai ek our video banao final pe,"Positive
"
138,virat amp rohit,"Neutral
"
139,entire team and every player,"Positive
"
140,one of the best finals in icc tournaments,"Positive
"
